month,no2,o3,so2,pm2_5,pm10,Global_AQI
2024-10,4.114299600006671,43.952208571484164,0.9743722900199251,9.574742406476373,2.8069906485480267,43.952208571484164
2024-11,3.4105439353349234,55.53973501366739,1.3878056478402523,13.952289813766667,4.104280921661518,55.53973501366739
2024-12,1.7521243275061529,108.84738349487003,2.195722871752238,24.482089165842087,6.717242980259947,108.84738349487003
2025-01,0.4481554354240251,159.69313947027675,3.059765065611929,34.233892952193095,9.265277220071258,159.69313947027675
2025-02,0.007976390876541967,198.64671987532165,3.764182724844686,42.805901255695055,11.495901711486434,198.64671987532165
2025-03,0.0,215.33249891132638,4.479683656961911,51.553303678528785,13.772436921322186,215.33249891132638
2025-04,0.0,231.73451075529627,5.26517515452215,56.15966890327289,16.114577581499148,231.73451075529627
2025-05,0.0,248.55064885052388,6.093395817532831,60.940705424598384,18.616997524135012,248.55064885052388
2025-06,0.0,264.6060853095789,6.790316524203659,65.41392438333072,20.896776545675547,264.6060853095789
2025-07,0.0,281.1965144014193,7.59568303800625,70.06576481689723,23.291232839122735,281.1965144014193
2025-08,0.0,298.30592450271104,8.380281348303747,74.73021487585044,25.721758564326052,298.30592450271104
2025-09,0.0,313.5179496769771,9.121359640575282,79.29793554905669,28.02459600349067,313.5179496769771
2025-10,0.0,329.44764353037,9.955435543327374,84.10058446605574,30.52518300962437,329.44764353037
2025-11,0.0,340.10038061262384,10.33039959235414,86.76752424914356,31.905920732799416,340.10038061262384
