month,yhat,AQI
2024-10,2.2979381775543293,9.574742406476373
2024-11,3.348549555304,13.952289813766667
2024-12,5.8757013998021,24.482089165842087
2025-01,8.216134308526343,34.233892952193095
2025-02,10.273416301366812,42.805901255695055
2025-03,12.363101545096342,51.553303678528785
2025-04,14.553475213188944,56.15966890327289
2025-05,16.82690686516617,60.940705424598384
2025-06,18.953968125134814,65.41392438333072
2025-07,21.165965719055208,70.06576481689723
2025-08,23.383959318516638,74.73021487585044
2025-09,25.555957108020827,79.29793554905669
2025-10,27.83966567467548,84.10058446605574
2025-11,29.107822755204996,86.76752424914356
