month,yhat,AQI
2024-10,0.6820606030139476,0.9743722900199251
2024-11,0.9714639534881766,1.3878056478402523
2024-12,1.5370060102265666,2.195722871752238
2025-01,2.14183554592835,3.059765065611929
2025-02,2.63492790739128,3.764182724844686
2025-03,3.1357785598733376,4.479683656961911
2025-04,3.6856226081655046,5.26517515452215
2025-05,4.265377072272981,6.093395817532831
2025-06,4.753221566942561,6.790316524203659
2025-07,5.316978126604375,7.59568303800625
2025-08,5.866196943812623,8.380281348303747
2025-09,6.384951748402697,9.121359640575282
2025-10,6.968804880329162,9.955435543327374
2025-11,7.231279714647898,10.33039959235414
