month,yhat,AQI
2024-10,3.0315499004318687,2.8069906485480267
2024-11,4.432623395394439,4.104280921661518
2024-12,7.254622418680743,6.717242980259947
2025-01,10.00649939767696,9.265277220071258
2025-02,12.41557384840535,11.495901711486434
2025-03,14.874231875027961,13.772436921322186
2025-04,17.403743788019078,16.114577581499148
2025-05,20.10635732606581,18.616997524135012
2025-06,22.568518669329592,20.896776545675547
2025-07,25.154531466252553,23.291232839122735
2025-08,27.779499249472135,25.721758564326052
2025-09,30.266563683769924,28.02459600349067
2025-10,32.96719765039432,30.52518300962437
2025-11,34.45839439142337,31.905920732799416
