month,yhat,AQI
2024-10,178.2646571838159,
2024-11,192.67012651692227,
2024-12,215.00352904985968,
2025-01,237.2929595171391,
2025-02,256.9051824604389,
2025-03,276.66422430588074,
2025-04,298.0231002601806,
2025-05,319.2334272159433,
2025-06,339.55235538483214,
2025-07,360.9529181420783,
2025-08,381.85482858136066,
2025-09,402.70243984739756,
2025-10,424.4242846821508,
2025-11,436.4940057948937,
